college_name,student_name,mentor_name,department_name,academic_year,total_students,total_departments,total_faculty,year_of_study,student_count,faculty_count,student_faculty_ratio,avg_attendance_pct,hackathon_id,hackathon_name,hackathon_type,conducting_body,participation_level,mode,total_registered_students,total_participants,teams_formed,departments_participated,female_participation_pct,projects_submitted,projects_completed,shortlisted_projects,prizes_won_count,prize_level,problem_solving_score_avg,students_placed,placement_percentage,avg_package_lpa,highest_package_lpa,companies_visited,hackathon_to_placement_ratio,internships_offered,ppo_offers,lab_utilization_pct,software_tools_used,budget_allocated,budget_utilized,cost_per_student,repeat_participants_pct,dropout_from_hackathon,attendance_vs_participation_corr,academic_vs_hackathon_corr,month,quarter,year,yoy_participation_growth,yoy_placement_growth
Kumaraguru College of Technology,Priya Reddy 855,Prof. Aruna D.,PHARMACY,2023-24,3698,9,242,2,73,12,11.4,89,H001,Smart India Hackathon,External,Government,National,Offline,42,64,14,4,39,9,22,5,2,State,70,62,42,7.7,9.0,14,0.36,34,14,81,MATLAB,41,32,19835,30,8,0.68,0.62,March,Q1,2025,21,19
Thiagarajar College of Engineering,Priya Patel 141,Prof. Lakshmi S.,MECH,2023-24,2529,9,234,4,123,9,13.3,88,H002,College Innovation Hackathon,Internal,College,College,Online,95,34,21,3,36,4,3,7,0,,76,130,70,8.4,19.8,13,0.53,20,2,90,Python,46,31,17174,42,12,0.55,0.8,January,Q4,2024,10,18
Anna University,Sanjay Kumar 714,Dr. Rajesh K.,CSE,2022-23,3940,9,231,4,107,11,16.3,92,H002,College Innovation Hackathon,Internal,College,College,Online,100,24,15,8,31,19,3,4,3,National,82,186,74,7.0,11.5,31,0.34,26,1,87,AutoCAD,23,25,21274,43,17,0.7,0.55,March,Q1,2023,9,14
IIT Madras,Sneha Patel 258,Prof. Lakshmi S.,MECH,2023-24,3688,9,206,1,117,11,13.5,78,H003,Industry CodeFest,External,Company,State,Offline,55,21,5,5,32,17,17,8,0,,82,166,83,8.5,23.3,24,0.61,9,6,84,Python,25,43,17929,38,5,0.49,0.51,March,Q4,2023,11,20
Coimbatore Institute of Technology (CIT),Aditi Das 454,Dr. Suresh T.,CSE,2024-25,3608,9,196,3,181,11,14.2,93,H002,College Innovation Hackathon,Internal,College,College,Online,57,39,5,3,24,19,22,5,3,National,80,195,90,5.5,18.1,32,0.57,40,14,84,AutoCAD,56,26,27932,39,8,0.77,0.49,July,Q3,2022,9,15
Thiagarajar College of Engineering,Pooja Sharma 850,Dr. Suresh T.,CHEMICAL,2024-25,2829,9,248,4,133,8,19.7,92,H001,Smart India Hackathon,External,Government,National,Online,40,45,6,3,30,21,6,7,2,National,65,82,75,7.7,19.3,21,0.37,33,5,89,AutoCAD,27,19,21628,51,7,0.83,0.77,March,Q1,2024,25,13
Kumaraguru College of Technology,Nisha Gupta 190,Dr. Amit V.,CIVIL,2024-25,2801,9,252,3,173,11,16.9,93,H003,Industry CodeFest,External,Company,State,Offline,25,32,24,7,17,12,2,6,1,,71,53,60,3.8,18.9,28,0.56,22,6,56,Python,54,46,26093,25,15,0.53,0.53,January,Q3,2025,9,17
Kumaraguru College of Technology,Karthik Das 114,Prof. Lakshmi S.,PETROLEUM,2022-23,3082,9,224,4,149,10,19.8,87,H002,College Innovation Hackathon,Internal,College,College,Online,47,71,16,9,38,12,7,6,3,State,86,180,78,4.0,11.5,25,0.79,38,10,59,Embedded,44,23,15108,46,11,0.62,0.62,March,Q2,2023,17,13
Vellore Institute of Technology (VIT),Pranav Reddy 800,Dr. Sunita M.,AI&DS,2023-24,3698,9,218,4,186,14,17.4,77,H001,Smart India Hackathon,External,Government,National,Online,20,34,11,5,40,6,22,10,2,,65,155,84,7.4,8.5,34,0.44,9,11,92,Cloud,56,45,19225,50,6,0.6,0.69,January,Q3,2023,23,5
IIT Madras,Karthik Verma 104,Prof. Aruna D.,EEE,2024-25,2777,9,225,3,101,6,12.7,83,H002,College Innovation Hackathon,Internal,College,College,Offline,26,52,12,7,14,19,8,10,1,College,79,72,74,5.4,13.4,37,0.64,24,8,78,Python,54,55,20761,29,3,0.5,0.51,September,Q4,2024,10,7
PSG College of Technology,Rohan Das 327,Dr. Rajesh K.,MECH,2022-23,2885,9,251,2,217,14,18.5,92,H003,Industry CodeFest,External,Company,State,Online,73,73,5,3,18,3,17,5,2,National,64,143,78,6.6,24.5,15,0.65,6,3,69,MATLAB,29,32,20036,28,9,0.5,0.43,January,Q1,2022,20,17
PSG College of Technology,Rohan Verma 746,Dr. Suresh T.,CSE,2022-23,3851,9,245,2,211,6,14.7,78,H001,Smart India Hackathon,External,Government,National,Online,28,53,24,3,16,6,21,3,1,State,81,119,41,4.0,22.4,40,0.44,27,11,65,Embedded,59,33,23272,24,6,0.78,0.71,March,Q2,2024,10,4
Thiagarajar College of Engineering,Manoj Verma 804,Prof. Ramesh B.,ECE,2024-25,3472,9,226,2,210,8,14.4,73,H003,Industry CodeFest,External,Company,State,Online,65,63,16,4,42,10,15,1,2,College,74,58,73,4.3,21.0,32,0.44,7,2,75,Cloud,27,42,19646,49,12,0.72,0.74,March,Q4,2024,18,10
PSG College of Technology,Pooja Kumar 877,Dr. Rajesh K.,ECE,2023-24,2867,9,181,4,185,7,14.0,86,H003,Industry CodeFest,External,Company,State,Online,35,33,15,6,16,8,4,5,1,National,66,182,94,9.4,10.1,36,0.51,36,8,92,Embedded,37,43,20834,50,15,0.85,0.6,March,Q4,2022,8,12
IIT Madras,Karthik Kumar 269,Prof. Lakshmi S.,CIVIL,2024-25,2775,9,183,4,85,6,18.3,85,H001,Smart India Hackathon,External,Government,National,Online,42,63,22,8,30,7,11,9,0,College,81,163,89,6.5,15.9,19,0.63,36,8,89,AutoCAD,54,52,15289,22,16,0.8,0.45,September,Q3,2025,19,18
SASTRA Deemed University,Sriya Das 614,Dr. Sunita M.,CSE,2024-25,3850,9,218,1,102,13,14.3,79,H001,Smart India Hackathon,External,Government,National,Offline,82,29,21,8,41,24,19,10,3,,77,70,72,3.8,12.5,28,0.79,27,9,75,Python,21,55,15739,28,14,0.59,0.7,January,Q3,2025,8,17
Amrita Vishwa Vidyapeetham,Arjun Das 400,Prof. Aruna D.,PETROLEUM,2023-24,2615,9,211,3,123,9,16.5,88,H002,College Innovation Hackathon,Internal,College,College,Online,108,23,12,3,31,8,2,8,2,College,74,198,95,6.0,16.8,23,0.43,35,0,75,Cloud,56,42,20282,26,18,0.49,0.67,July,Q4,2024,10,13
Anna University,Meera Das 928,Dr. Meenakshi P.,PETROLEUM,2023-24,3801,9,189,4,197,9,12.9,71,H001,Smart India Hackathon,External,Government,National,Offline,93,66,10,7,15,25,20,1,2,National,62,175,91,6.7,15.3,21,0.7,24,9,82,Embedded,40,30,21788,45,11,0.7,0.58,March,Q1,2023,23,19
SASTRA Deemed University,Rohan Gupta 884,Dr. Rajesh K.,MECH,2024-25,3591,9,258,4,171,15,17.3,71,H002,College Innovation Hackathon,Internal,College,College,Online,66,74,7,4,19,24,11,6,3,National,87,46,80,4.7,15.0,36,0.44,15,8,93,MATLAB,45,33,16860,29,9,0.46,0.72,July,Q4,2025,22,17
Vellore Institute of Technology (VIT),Aditi Patel 261,Dr. Meenakshi P.,PHARMACY,2022-23,3058,9,197,1,67,10,17.9,78,H001,Smart India Hackathon,External,Government,National,Online,102,20,18,9,11,4,4,5,2,College,88,134,63,7.5,23.1,22,0.77,13,7,62,Embedded,52,25,23551,53,11,0.65,0.44,January,Q3,2024,23,16
IIT Madras,Sneha Nair 502,Dr. Meenakshi P.,MECH,2022-23,2718,9,202,4,114,10,14.4,78,H001,Smart India Hackathon,External,Government,National,Online,82,83,14,8,17,13,19,6,3,State,90,101,90,9.1,14.2,32,0.48,24,0,93,Python,23,33,19144,55,15,0.57,0.78,July,Q1,2023,19,16
SRM Institute of Science and Technology,Sneha Kumar 416,Prof. Aruna D.,CSE,2023-24,2684,9,210,4,136,9,18.6,75,H002,College Innovation Hackathon,Internal,College,College,Offline,100,55,23,6,12,11,4,7,3,,89,115,85,6.0,23.6,13,0.71,21,2,77,Cloud,58,53,27087,40,17,0.73,0.7,March,Q4,2023,5,16
IIT Madras,Arjun Sharma 235,Dr. Meenakshi P.,MECH,2024-25,2668,9,194,3,100,9,15.2,94,H002,College Innovation Hackathon,Internal,College,College,Online,96,67,13,6,40,7,10,2,2,National,66,51,66,5.7,14.7,22,0.77,19,0,56,Embedded,59,58,18747,25,17,0.53,0.68,March,Q1,2025,24,17
SASTRA Deemed University,Meera Reddy 750,Dr. Rajesh K.,CHEMICAL,2023-24,2848,9,252,2,90,6,17.2,83,H001,Smart India Hackathon,External,Government,National,Offline,106,78,6,4,23,9,10,4,3,,64,140,94,4.7,11.7,36,0.44,17,13,66,Cloud,29,19,19754,36,10,0.7,0.76,July,Q4,2022,5,19
IIT Madras,Priya Gupta 424,Dr. Rajesh K.,EEE,2023-24,3906,9,207,3,158,12,17.4,78,H003,Industry CodeFest,External,Company,State,Online,32,86,4,3,31,10,17,5,0,College,68,159,79,5.8,24.6,31,0.49,40,1,92,MATLAB,36,28,23253,51,13,0.8,0.45,July,Q4,2023,13,7
Anna University,Karthik Sharma 581,Dr. Amit V.,PETROLEUM,2023-24,3075,9,226,1,170,10,19.0,78,H001,Smart India Hackathon,External,Government,National,Offline,86,55,16,4,30,18,6,8,3,College,66,68,43,4.9,8.6,18,0.38,34,13,62,Cloud,22,46,20841,55,18,0.63,0.44,March,Q1,2024,7,10
PSG College of Technology,Ishani Sharma 910,Prof. Aruna D.,CHEMICAL,2024-25,3541,9,214,2,204,15,12.1,70,H001,Smart India Hackathon,External,Government,National,Online,73,24,10,9,41,24,5,5,0,National,81,61,65,5.7,23.8,13,0.72,14,0,60,Cloud,50,47,25294,37,3,0.58,0.42,September,Q3,2023,11,5
PSG College of Technology,Deepak Verma 893,Dr. Amit V.,CHEMICAL,2024-25,2644,9,250,3,214,12,10.9,78,H001,Smart India Hackathon,External,Government,National,Online,50,66,5,3,23,8,14,6,2,State,63,106,71,8.3,20.5,39,0.46,13,11,61,AutoCAD,52,30,23021,48,15,0.64,0.63,September,Q1,2025,16,9
Anna University,Abhishek Singh 700,Prof. Ramesh B.,PHARMACY,2022-23,3551,9,223,4,178,9,16.5,92,H001,Smart India Hackathon,External,Government,National,Online,83,82,23,8,43,5,11,7,3,College,89,152,59,4.4,10.2,38,0.45,20,13,73,Embedded,23,53,16253,22,6,0.65,0.57,September,Q3,2024,13,6
Anna University,Deepak Kumar 435,Prof. Lakshmi S.,AI&DS,2024-25,3854,9,239,1,105,8,18.4,71,H001,Smart India Hackathon,External,Government,National,Online,73,53,13,7,39,24,16,9,2,National,90,77,53,4.6,20.7,29,0.43,11,13,89,Python,20,43,16911,20,8,0.71,0.58,September,Q4,2024,24,15
Anna University,Sriya Nair 834,Prof. Lakshmi S.,PHARMACY,2022-23,2776,9,181,3,108,7,18.2,92,H001,Smart India Hackathon,External,Government,National,Online,23,41,18,8,19,23,9,6,1,College,69,148,49,6.3,8.4,15,0.75,33,15,85,Python,48,55,18975,32,12,0.68,0.73,January,Q3,2022,8,17
Vellore Institute of Technology (VIT),Sanjay Kumar 485,Prof. Lakshmi S.,PHARMACY,2024-25,3720,9,250,4,134,6,14.9,85,H003,Industry CodeFest,External,Company,State,Offline,49,22,19,3,37,21,12,8,0,National,88,195,66,8.8,10.0,29,0.77,27,14,82,Python,30,36,26898,32,18,0.59,0.49,March,Q3,2025,9,13
Amrita Vishwa Vidyapeetham,Rohan Sharma 310,Dr. Rajesh K.,PHARMACY,2024-25,3237,9,240,4,101,15,12.1,92,H003,Industry CodeFest,External,Company,State,Online,105,76,7,4,22,8,21,7,0,,90,156,59,4.9,17.5,10,0.48,21,11,65,MATLAB,52,20,16043,41,16,0.5,0.49,March,Q4,2024,15,15
Coimbatore Institute of Technology (CIT),Pooja Kumar 420,Dr. Amit V.,CSE,2024-25,3555,9,257,3,86,6,19.3,84,H001,Smart India Hackathon,External,Government,National,Offline,116,29,6,9,16,20,3,8,0,State,80,60,95,4.7,14.1,33,0.45,33,15,61,MATLAB,43,39,17257,27,9,0.63,0.57,January,Q2,2025,15,13
IIT Madras,Sneha Nair 127,Dr. Kavita J.,AI&DS,2023-24,3262,9,233,2,152,9,11.5,94,H001,Smart India Hackathon,External,Government,National,Offline,120,44,7,9,37,16,15,7,2,College,74,67,89,3.6,21.7,40,0.33,26,10,80,MATLAB,47,21,21443,22,7,0.81,0.42,July,Q4,2025,22,13
Anna University,Deepak Kumar 122,Prof. Ramesh B.,PETROLEUM,2023-24,3580,9,258,3,97,12,14.5,76,H001,Smart India Hackathon,External,Government,National,Offline,109,59,23,6,22,12,4,0,2,,83,62,73,9.5,12.8,12,0.56,24,10,95,MATLAB,21,19,23846,36,10,0.78,0.52,September,Q1,2022,16,12
PSG College of Technology,Manoj Das 109,Dr. Amit V.,AI&DS,2022-23,3833,9,195,3,174,10,15.7,70,H001,Smart India Hackathon,External,Government,National,Offline,63,45,21,7,44,22,9,5,2,National,81,176,83,4.3,14.4,33,0.42,25,6,78,Cloud,26,27,26659,47,16,0.48,0.42,March,Q4,2023,19,6
Amrita Vishwa Vidyapeetham,Meera Patel 276,Dr. Sunita M.,PETROLEUM,2024-25,3562,9,230,4,127,15,15.0,83,H003,Industry CodeFest,External,Company,State,Offline,108,77,16,9,20,7,18,2,3,,64,161,95,6.7,19.8,24,0.54,15,11,62,Embedded,46,25,16980,43,12,0.47,0.46,July,Q3,2024,14,13
Vellore Institute of Technology (VIT),Abhishek Gupta 828,Dr. Kavita J.,CIVIL,2022-23,3707,9,233,1,72,10,18.9,76,H001,Smart India Hackathon,External,Government,National,Online,114,77,3,3,45,14,4,0,3,,78,109,76,6.2,13.7,22,0.54,13,4,87,Cloud,48,46,17440,40,5,0.77,0.67,September,Q4,2023,17,14
Coimbatore Institute of Technology (CIT),Vikram Verma 422,Dr. Suresh T.,AI&DS,2023-24,3068,9,191,1,102,6,15.7,95,H003,Industry CodeFest,External,Company,State,Offline,91,97,6,8,45,5,8,9,0,State,84,151,72,8.9,10.0,39,0.57,6,8,68,MATLAB,57,46,16386,54,13,0.61,0.42,January,Q3,2025,10,17
IIT Madras,Arjun Sharma 864,Dr. Sunita M.,CSE,2023-24,2686,9,194,3,85,14,11.7,74,H002,College Innovation Hackathon,Internal,College,College,Online,52,26,7,5,36,24,7,0,2,State,60,44,59,5.8,13.4,23,0.75,21,12,62,Python,32,33,27322,35,18,0.65,0.6,January,Q3,2022,15,18
IIT Madras,Sanjay Gupta 819,Dr. Suresh T.,AI&DS,2023-24,2559,9,232,4,119,6,12.7,88,H001,Smart India Hackathon,External,Government,National,Online,51,86,23,9,18,12,20,6,3,College,87,192,72,4.7,24.5,21,0.57,15,7,89,Cloud,55,46,15684,20,17,0.83,0.65,March,Q1,2022,20,12
Thiagarajar College of Engineering,Vikram Sharma 716,Prof. Ramesh B.,CHEMICAL,2024-25,2935,9,254,4,190,10,10.5,93,H002,College Innovation Hackathon,Internal,College,College,Online,58,26,15,8,17,7,19,4,3,State,79,159,91,5.4,19.6,20,0.62,33,8,70,AutoCAD,41,31,22533,41,3,0.82,0.45,January,Q4,2022,5,9
SRM Institute of Science and Technology,Nisha Sharma 204,Dr. Sunita M.,PHARMACY,2024-25,2666,9,189,4,197,6,18.9,91,H002,College Innovation Hackathon,Internal,College,College,Offline,106,30,14,9,34,22,13,6,1,College,63,148,63,9.1,15.6,17,0.67,22,11,67,Python,59,58,19967,34,10,0.84,0.79,January,Q3,2025,24,10
SRM Institute of Science and Technology,Karthik Patel 837,Prof. Aruna D.,CSE,2023-24,2727,9,215,2,205,14,14.9,87,H003,Industry CodeFest,External,Company,State,Online,104,87,24,8,21,5,20,2,0,State,68,175,94,4.9,16.9,35,0.44,6,8,90,Cloud,20,45,25501,23,13,0.62,0.8,July,Q1,2025,20,15
PSG College of Technology,Priya Patel 416,Dr. Amit V.,AI&DS,2022-23,2596,9,215,1,167,14,14.5,70,H003,Industry CodeFest,External,Company,State,Offline,44,57,5,7,11,10,15,1,1,State,65,114,59,3.9,18.6,10,0.54,6,10,71,MATLAB,26,48,18905,41,4,0.78,0.61,March,Q1,2025,8,18
Anna University,Abhishek Gupta 436,Dr. Rajesh K.,ECE,2022-23,3272,9,220,1,76,8,10.6,95,H001,Smart India Hackathon,External,Government,National,Offline,27,53,22,8,37,5,5,10,0,College,69,127,65,4.1,20.8,17,0.73,5,14,79,Cloud,47,57,25145,26,13,0.71,0.67,January,Q4,2024,23,10
Vellore Institute of Technology (VIT),Rahul Patel 741,Dr. Amit V.,ECE,2024-25,3960,9,188,1,211,9,19.0,74,H001,Smart India Hackathon,External,Government,National,Offline,65,68,18,8,38,8,9,2,0,College,64,109,77,6.1,24.3,34,0.48,39,4,64,Cloud,39,56,20618,38,14,0.84,0.61,March,Q1,2023,21,5
Anna University,Sriya Gupta 168,Dr. Sunita M.,PHARMACY,2022-23,3811,9,205,3,77,11,11.9,85,H001,Smart India Hackathon,External,Government,National,Offline,96,57,21,7,31,22,11,6,2,State,63,146,90,9.0,16.4,39,0.3,19,7,84,Embedded,33,33,22876,41,15,0.53,0.47,January,Q3,2022,7,15
SASTRA Deemed University,Deepak Iyer 866,Dr. Suresh T.,CSE,2023-24,3401,9,204,1,209,11,10.4,70,H001,Smart India Hackathon,External,Government,National,Online,45,51,8,4,26,8,12,8,1,State,66,35,51,8.6,23.5,10,0.72,13,12,62,AutoCAD,33,37,22474,35,14,0.77,0.66,September,Q1,2022,9,8
Amrita Vishwa Vidyapeetham,Karthik Kumar 104,Prof. Ramesh B.,MECH,2023-24,3922,9,227,2,141,15,14.3,90,H003,Industry CodeFest,External,Company,State,Online,25,93,21,4,44,12,6,5,1,College,80,101,95,4.3,16.6,28,0.74,18,2,85,Embedded,24,28,23333,44,14,0.65,0.59,July,Q3,2025,20,19
IIT Madras,Divya Sharma 750,Prof. Venkatesh R.,CHEMICAL,2024-25,3830,9,184,4,113,9,18.9,84,H003,Industry CodeFest,External,Company,State,Online,70,42,12,6,34,21,7,5,2,College,64,51,58,6.2,14.0,28,0.32,37,10,82,Cloud,49,45,21700,43,18,0.58,0.55,March,Q4,2023,13,6
SASTRA Deemed University,Arjun Sharma 279,Dr. Rajesh K.,PETROLEUM,2024-25,3550,9,249,1,80,10,19.3,73,H002,College Innovation Hackathon,Internal,College,College,Online,29,61,4,7,22,13,8,10,2,National,69,100,52,7.7,25.0,37,0.68,39,8,55,AutoCAD,38,40,27830,45,15,0.78,0.7,January,Q4,2023,17,11
Thiagarajar College of Engineering,Arjun Iyer 899,Prof. Venkatesh R.,MECH,2022-23,3556,9,255,2,201,13,17.2,84,H002,College Innovation Hackathon,Internal,College,College,Offline,30,55,9,6,36,9,16,7,0,National,64,177,95,4.3,24.0,10,0.55,27,10,69,Cloud,47,43,27498,54,12,0.58,0.41,January,Q2,2023,15,16
Anna University,Sriya Nair 498,Prof. Lakshmi S.,PHARMACY,2022-23,3594,9,229,2,108,13,11.1,88,H002,College Innovation Hackathon,Internal,College,College,Offline,101,53,5,4,16,24,19,2,0,,60,77,52,3.9,24.4,19,0.4,23,2,84,Python,43,51,15180,30,13,0.79,0.56,March,Q1,2023,22,17
Thiagarajar College of Engineering,Nisha Verma 433,Prof. Venkatesh R.,CIVIL,2022-23,2766,9,206,1,139,12,18.2,91,H002,College Innovation Hackathon,Internal,College,College,Offline,40,92,21,5,22,19,23,7,2,State,60,66,68,3.9,14.8,35,0.42,26,15,84,Cloud,56,20,27079,25,12,0.71,0.77,July,Q3,2025,24,9
SASTRA Deemed University,Aditi Singh 691,Dr. Suresh T.,PHARMACY,2024-25,3384,9,238,2,158,8,17.0,73,H001,Smart India Hackathon,External,Government,National,Offline,109,20,10,9,20,11,22,8,2,College,82,85,71,6.0,21.0,13,0.8,9,3,87,AutoCAD,46,46,17700,36,9,0.65,0.58,January,Q4,2025,15,16
Amrita Vishwa Vidyapeetham,Sneha Das 872,Dr. Rajesh K.,MECH,2022-23,3013,9,194,4,94,11,16.7,84,H001,Smart India Hackathon,External,Government,National,Offline,79,23,5,7,25,25,16,2,3,National,86,71,50,8.5,18.3,15,0.45,39,12,65,Python,20,35,17514,48,14,0.52,0.69,March,Q4,2022,25,20
Anna University,Sneha Reddy 952,Prof. Aruna D.,ECE,2023-24,3409,9,186,4,213,6,10.5,82,H003,Industry CodeFest,External,Company,State,Online,51,62,10,4,15,3,15,0,0,National,86,79,83,7.5,11.7,38,0.35,15,5,57,Cloud,52,24,20359,40,9,0.7,0.77,September,Q4,2022,12,10
SASTRA Deemed University,Sanjay Reddy 822,Prof. Lakshmi S.,ECE,2022-23,2530,9,231,3,140,6,13.9,84,H002,College Innovation Hackathon,Internal,College,College,Online,28,99,11,8,33,4,4,3,3,National,84,183,71,9.4,9.7,27,0.7,15,8,61,Embedded,40,58,26408,44,7,0.58,0.65,July,Q4,2022,15,4
Coimbatore Institute of Technology (CIT),Sneha Nair 839,Dr. Meenakshi P.,CIVIL,2024-25,2976,9,244,4,210,6,12.3,89,H003,Industry CodeFest,External,Company,State,Online,59,45,16,9,25,22,4,0,1,National,75,105,52,4.4,11.5,11,0.42,33,10,63,AutoCAD,40,20,23533,46,12,0.75,0.49,July,Q3,2023,11,5
Anna University,Arjun Das 223,Prof. Aruna D.,MECH,2023-24,3567,9,221,2,106,13,16.3,72,H003,Industry CodeFest,External,Company,State,Offline,28,39,4,8,19,9,6,1,1,State,67,159,45,6.1,15.9,15,0.66,20,13,66,Embedded,35,37,19675,48,9,0.56,0.71,January,Q3,2025,17,9
Amrita Vishwa Vidyapeetham,Deepak Kumar 981,Dr. Kavita J.,CIVIL,2024-25,3748,9,235,4,99,13,10.2,82,H002,College Innovation Hackathon,Internal,College,College,Offline,30,53,22,7,19,20,7,4,3,,69,146,58,5.8,18.3,12,0.47,35,6,64,MATLAB,20,18,23203,43,18,0.61,0.57,September,Q3,2025,20,13
Vellore Institute of Technology (VIT),Manoj Das 313,Dr. Suresh T.,ECE,2022-23,3288,9,252,4,101,9,17.6,78,H001,Smart India Hackathon,External,Government,National,Offline,85,77,23,8,33,25,3,10,3,,83,93,55,6.4,23.7,21,0.62,6,4,71,Embedded,49,27,19166,35,8,0.45,0.71,September,Q4,2022,21,10
Thiagarajar College of Engineering,Aditi Nair 879,Dr. Suresh T.,PHARMACY,2023-24,3916,9,218,2,188,14,16.6,82,H002,College Innovation Hackathon,Internal,College,College,Offline,113,67,5,3,32,7,10,3,3,National,60,73,92,6.5,9.6,34,0.65,38,13,73,Cloud,30,29,21138,31,7,0.53,0.47,January,Q4,2023,10,10
Thiagarajar College of Engineering,Sneha Patel 603,Dr. Meenakshi P.,CSE,2023-24,3337,9,236,2,220,15,11.1,90,H001,Smart India Hackathon,External,Government,National,Online,30,52,5,6,17,11,4,5,0,State,75,154,83,8.1,8.2,18,0.68,5,1,61,MATLAB,53,18,21154,53,11,0.82,0.59,July,Q4,2024,16,14
Amrita Vishwa Vidyapeetham,Vikram Sharma 423,Dr. Sunita M.,PETROLEUM,2024-25,3316,9,228,2,216,6,19.8,80,H002,College Innovation Hackathon,Internal,College,College,Online,20,73,25,6,18,3,21,1,2,State,71,145,79,7.6,22.8,26,0.51,17,0,95,AutoCAD,21,58,20901,22,13,0.72,0.49,September,Q4,2022,16,17
Kumaraguru College of Technology,Nisha Sharma 784,Prof. Lakshmi S.,CIVIL,2023-24,3101,9,257,1,109,8,18.7,88,H003,Industry CodeFest,External,Company,State,Online,36,78,5,5,45,17,7,7,0,,81,168,55,5.0,10.9,40,0.63,10,3,82,Python,30,38,21283,37,10,0.74,0.67,January,Q2,2025,7,14
Amrita Vishwa Vidyapeetham,Karthik Nair 214,Dr. Suresh T.,MECH,2023-24,3272,9,228,1,203,12,18.1,77,H003,Industry CodeFest,External,Company,State,Offline,34,52,5,3,15,13,20,3,0,National,64,110,64,7.0,8.0,11,0.6,17,12,82,AutoCAD,43,26,23515,34,6,0.61,0.62,September,Q3,2023,14,11
Thiagarajar College of Engineering,Nisha Sharma 191,Dr. Amit V.,CIVIL,2024-25,3080,9,198,4,68,15,13.2,86,H001,Smart India Hackathon,External,Government,National,Online,55,88,18,8,23,18,11,6,0,National,64,83,94,7.9,21.8,32,0.67,16,15,80,AutoCAD,30,19,23977,45,13,0.62,0.59,July,Q4,2025,7,20
Thiagarajar College of Engineering,Ananya Das 583,Dr. Amit V.,CHEMICAL,2022-23,3935,9,250,3,160,7,11.3,94,H003,Industry CodeFest,External,Company,State,Online,110,53,17,8,20,21,6,7,3,National,88,67,53,4.8,20.7,33,0.63,28,3,64,Cloud,47,28,15922,26,14,0.84,0.47,January,Q1,2024,23,17
Coimbatore Institute of Technology (CIT),Ananya Das 119,Prof. Aruna D.,EEE,2022-23,2743,9,210,4,161,13,13.0,89,H001,Smart India Hackathon,External,Government,National,Online,103,63,25,9,15,17,22,6,2,,71,32,47,4.2,10.1,30,0.63,37,7,56,Embedded,56,54,22856,37,6,0.77,0.47,September,Q4,2024,23,8
SRM Institute of Science and Technology,Priya Sharma 907,Prof. Lakshmi S.,ECE,2024-25,3600,9,203,3,163,6,13.9,87,H001,Smart India Hackathon,External,Government,National,Offline,28,81,21,7,17,9,23,1,1,State,60,172,68,8.3,10.1,14,0.59,15,2,90,AutoCAD,22,23,17043,52,12,0.6,0.62,September,Q1,2023,14,5
PSG College of Technology,Meera Nair 156,Prof. Ramesh B.,AI&DS,2024-25,3411,9,197,3,207,13,17.0,86,H003,Industry CodeFest,External,Company,State,Offline,97,83,19,4,16,24,3,3,0,State,64,106,94,8.5,24.3,29,0.58,27,8,63,Embedded,47,22,24008,36,11,0.6,0.76,September,Q4,2022,13,17
SASTRA Deemed University,Vikram Nair 449,Dr. Rajesh K.,EEE,2024-25,4000,9,214,2,109,11,15.6,90,H001,Smart India Hackathon,External,Government,National,Online,73,34,13,9,37,15,2,9,1,College,68,61,74,4.2,17.3,12,0.46,10,11,76,AutoCAD,29,32,19483,20,6,0.6,0.79,September,Q1,2022,10,20
IIT Madras,Abhishek Nair 594,Prof. Aruna D.,CHEMICAL,2024-25,3214,9,253,4,132,14,12.7,73,H001,Smart India Hackathon,External,Government,National,Online,41,55,15,4,32,24,19,8,3,,78,62,56,3.6,16.7,14,0.63,14,12,91,AutoCAD,23,58,21064,35,16,0.73,0.47,July,Q4,2024,13,17
SRM Institute of Science and Technology,Sanjay Sharma 653,Prof. Venkatesh R.,AI&DS,2024-25,2678,9,219,2,164,11,18.5,90,H002,College Innovation Hackathon,Internal,College,College,Online,29,45,5,4,13,5,11,8,3,College,90,138,83,6.6,20.4,25,0.55,39,3,80,Python,59,30,27221,20,16,0.73,0.7,March,Q1,2025,10,20
IIT Madras,Abhishek Sharma 747,Dr. Sunita M.,MECH,2023-24,2773,9,245,2,150,6,14.2,82,H001,Smart India Hackathon,External,Government,National,Online,67,29,13,8,25,20,5,4,2,,69,97,53,3.5,18.7,22,0.41,24,1,84,Embedded,51,21,20828,20,17,0.58,0.54,January,Q3,2023,17,15
Anna University,Sneha Iyer 484,Dr. Suresh T.,CSE,2023-24,2904,9,190,1,195,14,19.0,83,H002,College Innovation Hackathon,Internal,College,College,Online,82,15,7,9,26,10,17,6,2,National,71,139,51,6.7,12.6,24,0.63,33,5,63,AutoCAD,47,18,20885,32,6,0.53,0.42,September,Q4,2024,6,9
Amrita Vishwa Vidyapeetham,Ishani Patel 617,Dr. Amit V.,MECH,2023-24,2743,9,233,4,185,14,15.0,91,H003,Industry CodeFest,External,Company,State,Online,61,66,19,8,34,7,5,1,0,State,64,118,72,3.6,19.6,11,0.64,26,13,93,Python,47,48,19742,38,18,0.48,0.57,March,Q2,2023,13,7
